dataset	run	assay	posture	n_raw	n_kept	pct_trimmed_kept	pct_with_adapter	n_input	avg_len	pct_unique	pct_multi	pct_multi_many	pct_short
fly_gse99920_ribo	SRR5667267	ribo	mm1	46651854	41146605	88.2		41146605	32	15.14	0.0	78.72	5.97
fly_gse99920_ribo	SRR5667268	ribo	mm1	122734505	114482310	93.3		114482310	33	25.76	0.0	72.3	1.84
fly_gse99920_ribo	SRR5667269	ribo	mm1	45156367	42625319	94.4		42625319	33	25.13	0.0	72.62	2.12
fly_gse99920_ribo	SRR5667276	ribo	mm1	35199688	32656469	92.8		32656469	31	13.61	0.0	82.2	4.09
fly_gse99920_ribo	SRR5667277	ribo	mm1	78959629	76666498	97.1		76666498	32	23.62	0.0	74.27	2.04
fly_gse99920_ribo	SRR5667278	ribo	mm1	20752434	19824586	95.5		19824586	31	12.63	0.0	84.33	2.99
fly_gse99920_ribo	SRR5667282	ribo	mm1	56343352	50317601	89.3		50317601	32	15.4	0.0	76.57	7.76
fly_gse99920_ribo	SRR5667283	ribo	mm1	32872272	31699160	96.4		31699160	33	22.99	0.0	73.99	2.79
fly_gse99920_ribo	SRR5667284	ribo	mm1	69053087	63254044	91.6		63254044	33	19.15	0.0	75.91	4.73
primate_gg_ribo	ERR12549937	ribo	mm1	315089158	300977480	95.5	96.5	300977480	26	19.44	0.0	78.05	1.71
primate_gg_ribo	ERR12549938	ribo	mm1	195202602	184217513	94.4	95.3	184217513	27	19.18	0.0	76.83	3.34
primate_gg_ribo	ERR12549939	ribo	mm1	307467380	290194422	94.4	94.8	290194422	28	16.9	0.0	71.92	10.38
primate_pt_ribo	ERR12549917	ribo	mm1	130029789	127528273	98.1	98.3	127528273	24	3.14	0.0	92.34	4.4
primate_pt_ribo	ERR12549918	ribo	mm1	128410205	122358705	95.3	95.4	122358705	27	11.66	0.0	85.11	2.56
primate_pt_ribo	ERR12549919	ribo	mm1	118968943	115379937	97.0	97.4	115379937	25	4.37	0.0	94.11	1.29
primate_pt_ribo	ERR12549920	ribo	mm1	161912741	153718407	94.9	95.3	153718407	27	6.56	0.0	90.96	1.45
primate_pt_ribo	ERR12549921	ribo	mm1	204329095	195793200	95.8	96.1	195793200	26	11.1	0.0	87.07	1.52
primate_pt_ribo	ERR12549931	ribo	mm1	149709636	141613419	94.6	95.3	141613419	27	16.41	0.0	80.35	2.54
primate_pt_ribo	ERR12549932	ribo	mm1	189522576	180024021	95.0	95.5	180024021	27	17.71	0.0	78.73	2.8
primate_pt_ribo	ERR12549933	ribo	mm1	245775775	232096396	94.4	94.6	232096396	28	13.45	0.0	82.32	2.91
primate_rm_ribo	ERR12549922	ribo	mm1	252915476	241369413	95.4	95.8	241369413	27	15.11	0.0	51.05	4.57
primate_rm_ribo	ERR12549923	ribo	mm1	145153125	139156487	95.9	96.2	139156487	26	6.64	0.0	70.88	2.59
primate_rm_ribo	ERR12549924	ribo	mm1	206827987	197007804	95.3	95.7	197007804	26	10.9	0.0	58.65	4.71
primate_rm_ribo	ERR12549925	ribo	mm1	211223166	202266924	95.8	96.0	202266924	27	7.72	0.0	49.1	5.31
primate_rm_ribo	ERR12549934	ribo	mm1	202208403	199313698	98.6		199313698	27	19.09	0.0	27.0	12.82
primate_rm_ribo	ERR12549935	ribo	mm1	177698526	174565941	98.2		174565941	27	20.62	0.0	30.92	10.12
primate_rm_ribo	ERR12549936	ribo	mm1	262993096	258923396	98.5		258923396	27	18.78	0.0	31.02	12.71
ruizorera_hsCM_ribo	ERR12549926	ribo	mm1	212541556	208802771	98.2		208802771	27	29.62	0.0	66.44	3.38
ruizorera_hsCM_ribo	ERR12549927	ribo	mm1	191924877	189996770	99.0		189996770	28	19.75	0.0	73.02	6.68
ruizorera_hsCM_ribo	ERR12549928	ribo	mm1	216816775	208149868	96.0		208149868	28	22.52	0.0	72.42	4.18
ruizorera_hsCM_ribo	ERR12549929	ribo	mm1	207370071	204454822	98.6		204454822	28	19.28	0.0	73.99	6.08
ruizorera_hsCM_ribo	ERR12549930	ribo	mm1	160549848	158753648	98.9		158753648	28	20.0	0.0	72.15	6.62
worm_gse52905_ribo	SRR1041690	ribo	mm1	50000000	47361317	94.7	98.7	47361317	28	78.14	0.0	20.89	0.97
worm_gse52905_ribo	SRR1041691	ribo	mm1	1942559	1833060	94.4	98.3	1833060	28	77.85	0.0	20.86	1.28
worm_gse52905_ribo	SRR1041692	ribo	mm1	33630499	31309338	93.1	97.8	31309338	29	77.47	0.0	21.47	1.06
worm_gse52905_ribo	SRR1041693	ribo	mm1	50000000	46566556	93.1	98.7	46566556	29	83.02	0.0	16.05	0.93
worm_gse52905_ribo	SRR1041694	ribo	mm1	8796828	8189775	93.1	98.7	8189775	29	82.98	0.0	16.06	0.96
worm_gse52905_ribo	SRR1041695	ribo	mm1	46262444	43431982	93.9	98.4	43431982	29	76.69	0.0	22.41	0.9
worm_gse52905_ribo	SRR1041696	ribo	mm1	38340984	36281293	94.6	98.8	36281293	29	74.83	0.0	24.25	0.92
worm_gse52905_ribo	SRR1041697	ribo	mm1	43103122	41001993	95.1	98.8	41001993	29	75.74	0.0	23.4	0.85
worm_gse52905_ribo	SRR1041698	ribo	mm1	50000000	47181132	94.4	98.7	47181132	28	83.41	0.0	15.77	0.82
worm_gse52905_ribo	SRR1041699	ribo	mm1	3018290	2836897	94.0	98.2	2836897	28	82.91	0.0	15.87	1.22
worm_gse52905_ribo	SRR1041700	ribo	mm1	36658171	34487939	94.1	98.8	34487939	28	80.41	0.0	18.82	0.78
yeast_gse173654_ribo	SRR26680426	ribo	mm1	36068564	25378479	70.4		25378479	26	1.69	0.0	96.16	2.15
yeast_gse173654_ribo	SRR26680427	ribo	mm1	71155158	48968647	68.8		48968647	26	2.39	0.0	95.58	2.02
yeast_gse173654_ribo	SRR26680428	ribo	mm1	29713397	24758209	83.3		24758209	26	0.74	0.0	98.1	1.17
yeast_gse173654_ribo	SRR26680429	ribo	mm1	20668776	17363951	84.0		17363951	26	1.07	0.0	97.85	1.09
yeast_gse173654_ribo	SRR26680430	ribo	mm1	21985653	18963148	86.3		18963148	26	4.2	0.0	93.99	1.81
yeast_gse173654_ribo	SRR26680431	ribo	mm1	30829004	26834551	87.0		26834551	26	4.24	0.0	93.55	2.21
yeast_gse173654_ribo	SRR26680432	ribo	mm1	22756237	20071854	88.2		20071854	26	3.67	0.0	95.04	1.29
yeast_gse173654_ribo	SRR26680433	ribo	mm1	34235308	30207010	88.2		30207010	26	3.89	0.0	94.38	1.74
yeast_gse173654_ribo	SRR26680434	ribo	mm1	65424287	50976355	77.9		50976355	26	6.12	0.0	91.44	2.44
yeast_gse173654_ribo	SRR26680435	ribo	mm1	84138652	68208632	81.1		68208632	26	6.24	0.0	92.16	1.6
yeast_gse173654_ribo	SRR26680436	ribo	mm1	32386524	23413438	72.3		23413438	25	1.37	0.0	96.39	2.24
yeast_gse173654_ribo	SRR26680437	ribo	mm1	34739069	25498400	73.4		25498400	26	1.15	0.0	96.64	2.21
yeast_gse173654_ribo	SRR26680438	ribo	mm1	34169211	26599915	77.8		26599915	26	5.48	0.0	92.43	2.09
