pack	arch	reference	n_ref	n_pred	tp	precision	recall	f1	note
yeast	attn	mm1	4976	4986	4972	0.997	0.999	0.998	
yeast	attn	mm25	4976	4986	4972	0.997	0.999	0.998	
celegans	attn	mm1	15275	15314	14957	0.977	0.979	0.978	
celegans	attn	mm25	15280	15314	14958	0.977	0.979	0.978	
zebrafish	attn	mm1	8564	10229	8343	0.816	0.974	0.888	
zebrafish	attn	mm25	8602	10229	8372	0.818	0.973	0.889	
gorilla	attn	mm1	21204	21046	19344	0.919	0.912	0.916	
gorilla	attn	mm25	21304	21046	19393	0.921	0.91	0.916	
chimp	attn	mm1	27820	27567	25293	0.918	0.909	0.913	
chimp	attn	mm25	25750	27567	24021	0.871	0.933	0.901	reference from fewer runs
macaque	attn	mm1	28190	27687	25457	0.919	0.903	0.911	
macaque	attn	mm25	28269	27687	25508	0.921	0.902	0.912	
human	attn	mm1	31793	31701	28878	0.911	0.908	0.91	
human	attn	mm25	31991	31701	28984	0.914	0.906	0.91	
