pack	arch	variant	test_genes	real_calls	real_annotated	real_pct_annotated	pred_calls	tp	precision	recall	f1	fp_total	fp_dORF	fp_uORF	fp_novel	recall_annotated	n_annotated	recall_uORF	n_uORF	recall_Overlap_uORF	n_Overlap_uORF	recall_dORF	n_dORF	recall_Overlap_dORF	n_Overlap_dORF	recall_internal	n_internal	recall_novel	n_novel
yeast	attn	pred_obsdepth	4975	4978	4973	99.9	4938	4931	0.999	0.991	0.995	7	1	0	0	0.991	4973		0		0	1.0	1	1.0	1	0.0	3		0
yeast	attn	pred_preddepth	4975	4978	4973	99.9	4986	4973	0.997	0.999	0.998	13	1	0	0	1.0	4973		0		0	1.0	1	1.0	1	0.0	3		0
celegans	attn	pred_obsdepth	13721	15240	14598	95.8	15244	14895	0.977	0.977	0.977	349	108	66	28	0.992	14598	0.678	121	0.338	74	0.362	47	0.455	22	0.065	62	0.892	316
celegans	attn	pred_preddepth	13721	15240	14598	95.8	15314	14951	0.976	0.981	0.979	363	106	81	31	0.994	14598	0.702	121	0.351	74	0.404	47	0.5	22	0.097	62	0.911	316
zebrafish	attn	pred_obsdepth	8504	8437	7985	94.6	8769	7554	0.861	0.895	0.878	1215	20	329	48	0.915	7985	0.612	67	0.351	57	0.5	6	0.143	14	0.036	110	0.914	198
zebrafish	attn	pred_preddepth	8504	8437	7985	94.6	10229	8274	0.809	0.981	0.887	1955	46	876	57	1.0	7985	0.836	67	0.421	57	0.667	6	0.214	14	0.064	110	0.99	198
gorilla	attn	pred_obsdepth	12619	20980	16580	79.0	20625	19231	0.932	0.917	0.924	1394	136	832	171	0.992	16580	0.544	1707	0.589	842	0.189	143	0.304	46	0.229	262	0.899	1400
gorilla	attn	pred_preddepth	12619	20980	16580	79.0	21046	19358	0.92	0.923	0.921	1688	147	1033	225	0.995	16580	0.562	1707	0.625	842	0.175	143	0.326	46	0.237	262	0.907	1400
chimp	attn	pred_obsdepth	13804	27496	18715	68.1	27124	25259	0.931	0.919	0.925	1865	164	1209	244	0.992	18715	0.679	3076	0.757	1535	0.129	240	0.262	65	0.197	233	0.922	3632
chimp	attn	pred_preddepth	13804	27496	18715	68.1	27567	25353	0.92	0.922	0.921	2214	176	1480	289	0.996	18715	0.676	3076	0.774	1535	0.133	240	0.231	65	0.193	233	0.925	3632
macaque	attn	pred_obsdepth	14333	28044	18208	64.9	27885	25649	0.92	0.915	0.917	2236	195	1354	342	0.994	18208	0.676	3602	0.746	1725	0.2	185	0.405	74	0.264	239	0.923	4011
macaque	attn	pred_preddepth	14333	28044	18208	64.9	27687	25493	0.921	0.909	0.915	2194	176	1276	397	0.995	18208	0.642	3602	0.719	1725	0.184	185	0.392	74	0.243	239	0.923	4011
human	attn	pred_obsdepth	12674	30969	20823	67.2	31154	28746	0.923	0.928	0.925	2408	249	1198	673	0.993	20823	0.69	3057	0.741	1335	0.194	160	0.389	72	0.217	175	0.912	5347
human	attn	pred_preddepth	12674	30969	20823	67.2	31701	28901	0.912	0.933	0.922	2800	244	1486	759	0.995	20823	0.702	3057	0.751	1335	0.194	160	0.403	72	0.251	175	0.921	5347
yeast	mamba4	pred_obsdepth	4975	4978	4973	99.9	4964	4948	0.997	0.994	0.995	16	0	0	0	0.995	4973		0		0	1.0	1	1.0	1	0.0	3		0
yeast	mamba4	pred_preddepth	4975	4978	4973	99.9	4987	4964	0.995	0.997	0.996	23	0	0	0	0.998	4973		0		0	1.0	1	1.0	1	0.0	3		0
celegans	mamba4	pred_obsdepth	13721	15240	14598	95.8	15384	14911	0.969	0.978	0.974	473	92	81	40	0.992	14598	0.686	121	0.459	74	0.34	47	0.409	22	0.113	62	0.896	316
celegans	mamba4	pred_preddepth	13721	15240	14598	95.8	15360	14881	0.969	0.976	0.973	479	98	82	42	0.99	14598	0.694	121	0.405	74	0.298	47	0.455	22	0.097	62	0.902	316
zebrafish	mamba4	pred_obsdepth	8504	8437	7985	94.6	9037	7748	0.857	0.918	0.887	1289	15	384	50	0.939	7985	0.597	67	0.316	57	0.5	6	0.143	14	0.036	110	0.929	198
zebrafish	mamba4	pred_preddepth	8504	8437	7985	94.6	10248	8242	0.804	0.977	0.882	2006	32	914	61	0.996	7985	0.791	67	0.421	57	0.5	6	0.214	14	0.064	110	0.985	198
gorilla	mamba4	pred_obsdepth	12619	20980	16580	79.0	20759	19339	0.932	0.922	0.927	1420	121	870	167	0.996	16580	0.565	1707	0.595	842	0.126	143	0.283	46	0.294	262	0.899	1400
gorilla	mamba4	pred_preddepth	12619	20980	16580	79.0	21225	19457	0.917	0.927	0.922	1768	134	1096	240	0.997	16580	0.592	1707	0.633	842	0.14	143	0.304	46	0.328	262	0.908	1400
chimp	mamba4	pred_obsdepth	13804	27496	18715	68.1	27196	25301	0.93	0.92	0.925	1895	144	1240	264	0.994	18715	0.677	3076	0.743	1535	0.138	240	0.262	65	0.275	233	0.925	3632
chimp	mamba4	pred_preddepth	13804	27496	18715	68.1	27717	25418	0.917	0.924	0.921	2299	171	1531	317	0.996	18715	0.68	3076	0.766	1535	0.154	240	0.262	65	0.309	233	0.933	3632
macaque	mamba4	pred_obsdepth	14333	28044	18208	64.9	27991	25700	0.918	0.916	0.917	2291	199	1409	357	0.996	18208	0.682	3602	0.733	1725	0.168	185	0.351	74	0.318	239	0.923	4011
macaque	mamba4	pred_preddepth	14333	28044	18208	64.9	27846	25600	0.919	0.913	0.916	2246	177	1349	406	0.997	18208	0.66	3602	0.718	1725	0.168	185	0.351	74	0.326	239	0.922	4011
human	mamba4	pred_obsdepth	12674	30969	20823	67.2	31174	28839	0.925	0.931	0.928	2335	192	1188	634	0.995	20823	0.702	3057	0.745	1335	0.15	160	0.389	72	0.257	175	0.912	5347
human	mamba4	pred_preddepth	12674	30969	20823	67.2	31693	28937	0.913	0.934	0.924	2756	205	1473	744	0.996	20823	0.714	3057	0.763	1335	0.156	160	0.375	72	0.274	175	0.916	5347
