pack	arch	variant	class	n_real	n_pred	tp	precision	recall	median_len_nt
yeast	attn	pred_preddepth	CDS	4973	4972	4971	1.0	1.0	1284
yeast	attn	pred_preddepth	uORF	0	0	0			
yeast	attn	pred_preddepth	ncORF	0	0	0			
yeast	attn	pred_preddepth	other	5	14	2	0.143	0.4	147
celegans	attn	pred_preddepth	CDS	14598	14582	14503	0.995	0.993	1110
celegans	attn	pred_preddepth	uORF	195	186	104	0.559	0.533	213
celegans	attn	pred_preddepth	ncORF	5	8	5	0.625	1.0	198
celegans	attn	pred_preddepth	other	442	538	301	0.559	0.681	423
zebrafish	attn	pred_preddepth	CDS	7985	8989	7981	0.888	0.999	1497
zebrafish	attn	pred_preddepth	uORF	124	958	80	0.084	0.645	135
zebrafish	attn	pred_preddepth	ncORF	21	41	21	0.512	1.0	255
zebrafish	attn	pred_preddepth	other	307	241	133	0.552	0.433	741
gorilla	attn	pred_preddepth	CDS	16580	16942	16491	0.973	0.995	1401
gorilla	attn	pred_preddepth	uORF	2549	2577	1478	0.574	0.58	153
gorilla	attn	pred_preddepth	ncORF	187	289	144	0.498	0.77	171
gorilla	attn	pred_preddepth	other	1664	1238	937	0.757	0.563	786
chimp	attn	pred_preddepth	CDS	18715	19203	18616	0.969	0.995	1419
chimp	attn	pred_preddepth	uORF	4611	4892	3254	0.665	0.706	207
chimp	attn	pred_preddepth	ncORF	222	295	168	0.569	0.757	177
chimp	attn	pred_preddepth	other	3948	3177	2753	0.867	0.697	1188
macaque	attn	pred_preddepth	CDS	18208	18755	18108	0.966	0.995	1392
macaque	attn	pred_preddepth	uORF	5327	5009	3541	0.707	0.665	210
macaque	attn	pred_preddepth	ncORF	352	468	263	0.562	0.747	165
macaque	attn	pred_preddepth	other	4157	3455	2973	0.86	0.715	1146
human	attn	pred_preddepth	CDS	20823	21376	20667	0.967	0.993	1365
human	attn	pred_preddepth	uORF	4392	4950	3126	0.632	0.712	198
human	attn	pred_preddepth	ncORF	574	801	441	0.551	0.768	177
human	attn	pred_preddepth	other	5180	4574	3804	0.832	0.734	690
