pack	arch	variant	class	n_real	n_pred	tp	precision	recall	median_len_nt
yeast	mamba4	pred_preddepth	CDS	4973	4963	4962	1.0	0.998	1284
yeast	mamba4	pred_preddepth	uORF	0	0	0			
yeast	mamba4	pred_preddepth	ncORF	0	0	0			
yeast	mamba4	pred_preddepth	other	5	24	2	0.083	0.4	147
celegans	mamba4	pred_preddepth	CDS	14598	14514	14438	0.995	0.989	1110
celegans	mamba4	pred_preddepth	uORF	195	192	108	0.562	0.554	213
celegans	mamba4	pred_preddepth	ncORF	5	8	5	0.625	1.0	198
celegans	mamba4	pred_preddepth	other	442	646	291	0.45	0.658	423
zebrafish	mamba4	pred_preddepth	CDS	7985	8945	7956	0.889	0.996	1497
zebrafish	mamba4	pred_preddepth	uORF	124	992	77	0.078	0.621	135
zebrafish	mamba4	pred_preddepth	ncORF	21	38	21	0.553	1.0	255
zebrafish	mamba4	pred_preddepth	other	307	273	140	0.513	0.456	741
gorilla	mamba4	pred_preddepth	CDS	16580	16947	16512	0.974	0.996	1401
gorilla	mamba4	pred_preddepth	uORF	2549	2700	1534	0.568	0.602	153
gorilla	mamba4	pred_preddepth	ncORF	187	289	141	0.488	0.754	171
gorilla	mamba4	pred_preddepth	other	1664	1289	958	0.743	0.576	786
chimp	mamba4	pred_preddepth	CDS	18715	19201	18611	0.969	0.994	1419
chimp	mamba4	pred_preddepth	uORF	4611	4953	3258	0.658	0.707	207
chimp	mamba4	pred_preddepth	ncORF	222	301	183	0.608	0.824	177
chimp	mamba4	pred_preddepth	other	3948	3262	2780	0.852	0.704	1188
macaque	mamba4	pred_preddepth	CDS	18208	18790	18140	0.965	0.996	1392
macaque	mamba4	pred_preddepth	uORF	5327	5127	3603	0.703	0.676	210
macaque	mamba4	pred_preddepth	ncORF	352	477	256	0.537	0.727	165
macaque	mamba4	pred_preddepth	other	4157	3452	3001	0.869	0.722	1146
human	mamba4	pred_preddepth	CDS	20823	21385	20684	0.967	0.993	1365
human	mamba4	pred_preddepth	uORF	4392	4962	3181	0.641	0.724	198
human	mamba4	pred_preddepth	ncORF	574	770	425	0.552	0.74	177
human	mamba4	pred_preddepth	other	5180	4576	3822	0.835	0.738	690
