# C12_values.json -> WIDE (record table at 'model_points', 13 rows)
source_json	site	n_dumps	ceiling_within_species_median	ceiling_across_species_median	n_pairs_within	n_pairs_across	model_mouse_median	model_human_median	mouse_frac_of_across_ceiling	human_frac_of_within_ceiling	label	species	r
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	human_cart_attn	human	0.50014164
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	human_cart_mamba4	human	0.52281547
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	human_gse208041_attn	human	0.59889588
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	human_gse208041_mamba4	human	0.57389283
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	mouse3x3canon_attn_gse243134	mouse	0.24420466
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	mouse3x3canon_attn_janich	mouse	0.14264947
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	mouse3x3canon_attn_wang	mouse	0.29281008
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	mouse3x3canon_mamba4_gse243134	mouse	0.28860785
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	mouse3x3canon_mamba4_janich	mouse	0.21961449
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	mouse3x3canon_mamba4_wang	mouse	0.27832594
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	released_gse243134_mamba4	mouse	0.47380335
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	released_janich_mamba4	mouse	0.2251027
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/codon_occupancy_canon/_compare_asite.json	asite	13	0.94361736	0.2686088	31	36	0.26276311	0.54835415	0.97823715	0.58111918	released_wang_mamba4	mouse	0.26276311
