arm	rna_input	ribo_reference	f1	matched
pred_obsdepth	janich	janich	0.9194	1
pred_obsdepth	janich	gse243134	0.9121	0
pred_obsdepth	janich	wang	0.9260	0
pred_obsdepth	gse243134	janich	0.9190	0
pred_obsdepth	gse243134	gse243134	0.9126	1
pred_obsdepth	gse243134	wang	0.9232	0
pred_obsdepth	wang	janich	0.9066	0
pred_obsdepth	wang	gse243134	0.8972	0
pred_obsdepth	wang	wang	0.9189	1
pred_preddepth	janich	janich	0.8772	1
pred_preddepth	janich	gse243134	0.8741	0
pred_preddepth	janich	wang	0.8773	0
pred_preddepth	gse243134	janich	0.8802	0
pred_preddepth	gse243134	gse243134	0.8764	1
pred_preddepth	gse243134	wang	0.8798	0
pred_preddepth	wang	janich	0.8677	0
pred_preddepth	wang	gse243134	0.8642	0
pred_preddepth	wang	wang	0.8731	1
