# F2b_values.json -> WIDE (record table at 'records', 20 rows)
dataset	substrate	model	arm	ratio	model_density	null_density	novel_peptides	db_novel_seqs	null_peptides	null_seqs
A549	tryptic	mamba4	model_poisson	168.8015	4.5757072	0.027107029	11	2404	10	368908
A549	tryptic	mamba4	model_standard	32.197168	0.87276959	0.027107029	9	10312	10	368908
A549	tryptic	attn	model_poisson	112.47195	3.0487805	0.027107029	7	2296	10	368908
A549	tryptic	attn	model_standard	27.641322	0.74927414	0.027107029	8	10677	10	368908
HBL1	HLA-I	mamba4	model_poisson	105.43745	7.6211214	0.072280971	14	1837	20	276698
HBL1	HLA-I	mamba4	model_standard	10.698811	0.77332044	0.072280971	8	10345	20	276698
HBL1	HLA-I	attn	model_poisson	91.269269	6.5970313	0.072280971	12	1819	20	276698
HBL1	HLA-I	attn	model_standard	18.238098	1.3182674	0.072280971	14	10620	20	276698
SUDHL4	HLA-I	mamba4	model_poisson	57.217987	6.1690315	0.1078163	10	1621	28	259701
SUDHL4	HLA-I	mamba4	model_standard	19.713147	2.1253985	0.1078163	22	10351	28	259701
SUDHL4	HLA-I	attn	model_poisson	40.900768	4.4097693	0.1078163	13	2948	28	259701
SUDHL4	HLA-I	attn	model_standard	22.295759	2.4038462	0.1078163	17	7072	28	259701
DoHH2	HLA-I	mamba4	model_poisson	133.58914	7.1611253	0.053605595	14	1955	13	242512
DoHH2	HLA-I	mamba4	model_standard	72.81686	3.9033911	0.053605595	32	8198	13	242512
DoHH2	HLA-I	attn	model_poisson	166.18948	8.908686	0.053605595	16	1796	13	242512
DoHH2	HLA-I	attn	model_standard	95.8762	5.1395007	0.053605595	28	5448	13	242512
THP1	HLA-I	mamba4	model_poisson	529.26067	1.7533606	0.0033128489	3	1711	1	301855
THP1	HLA-I	mamba4	model_standard	179.37663	0.59424768	0.0033128489	5	8414	1	301855
THP1	HLA-I	attn	model_poisson	2744.1364	9.0909091	0.0033128489	15	1650	1	301855
THP1	HLA-I	attn	model_standard	259.15862	0.85855334	0.0033128489	8	9318	1	301855
