# P11_values.json -> WIDE (record table at 'populations', 12 rows)
source_dir	search_parameters	n_populations	model_beats_baseline_n	null_atg_beats_baseline_n	median_model_dtotal	median_null_atg_dtotal	supersedes	pop	baseline_total	model	null_atg	null_nc
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	SmallIntestinal	52914	{"novel":37,"canon":52913,"total":52950,"dtot":36,"db":916,"dpsm":-6,"density":40.39301310043668}	{"novel":53,"canon":51929,"total":51982,"dtot":-932,"db":73070,"dpsm":-4073,"density":0.7253318735459149}	{"novel":127,"canon":49177,"total":49304,"dtot":-3610,"db":861334,"dpsm":-16347,"density":0.14744570631137283}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	Peritoneal	55744	{"novel":30,"canon":55742,"total":55772,"dtot":28,"db":879,"dpsm":-9,"density":34.129692832764505}	{"novel":38,"canon":54609,"total":54647,"dtot":-1097,"db":80339,"dpsm":-5165,"density":0.47299568080259896}	{"novel":134,"canon":52043,"total":52177,"dtot":-3567,"db":939373,"dpsm":-18207,"density":0.14264834096785836}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	LargeIntestinal	54562	{"novel":19,"canon":54560,"total":54579,"dtot":17,"db":892,"dpsm":-6,"density":21.300448430493272}	{"novel":43,"canon":53354,"total":53397,"dtot":-1165,"db":81868,"dpsm":-5166,"density":0.525235745346167}	{"novel":122,"canon":50101,"total":50223,"dtot":-4339,"db":971109,"dpsm":-19402,"density":0.1256295637255962}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	BMDM	54941	{"novel":34,"canon":54918,"total":54952,"dtot":11,"db":997,"dpsm":-102,"density":34.10230692076229}	{"novel":54,"canon":53845,"total":53899,"dtot":-1042,"db":81250,"dpsm":-5380,"density":0.6646153846153846}	{"novel":151,"canon":51233,"total":51384,"dtot":-3557,"db":946106,"dpsm":-19490,"density":0.15960156684346152}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	Kupffer	52067	{"novel":19,"canon":52057,"total":52076,"dtot":9,"db":1034,"dpsm":-52,"density":18.3752417794971}	{"novel":38,"canon":50700,"total":50738,"dtot":-1329,"db":89779,"dpsm":-6196,"density":0.42326156450840396}	{"novel":109,"canon":47551,"total":47660,"dtot":-4407,"db":1049183,"dpsm":-21122,"density":0.10389036040423835}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	SpleenRecruited	45340	{"novel":30,"canon":45319,"total":45349,"dtot":9,"db":1326,"dpsm":-92,"density":22.624434389140273}	{"novel":49,"canon":44193,"total":44242,"dtot":-1098,"db":88434,"dpsm":-4948,"density":0.5540855327136621}	{"novel":78,"canon":41440,"total":41518,"dtot":-3822,"db":1036410,"dpsm":-17188,"density":0.07525979100934958}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	SpleenResident	47425	{"novel":31,"canon":47391,"total":47422,"dtot":-3,"db":1432,"dpsm":-153,"density":21.64804469273743}	{"novel":43,"canon":46290,"total":46333,"dtot":-1092,"db":87339,"dpsm":-4996,"density":0.492334466847571}	{"novel":64,"canon":43403,"total":43467,"dtot":-3958,"db":1020477,"dpsm":-17966,"density":0.06271576919421015}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	Microglia	48031	{"novel":8,"canon":48017,"total":48025,"dtot":-6,"db":388,"dpsm":-53,"density":20.61855670103093}	{"novel":24,"canon":46856,"total":46880,"dtot":-1151,"db":82720,"dpsm":-4779,"density":0.2901353965183752}	{"novel":98,"canon":44627,"total":44725,"dtot":-3306,"db":967156,"dpsm":-14382,"density":0.10132801740360396}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	LungRecruited	44167	{"novel":20,"canon":44140,"total":44160,"dtot":-7,"db":1469,"dpsm":-112,"density":13.614703880190605}	{"novel":39,"canon":43020,"total":43059,"dtot":-1108,"db":97087,"dpsm":-4662,"density":0.4017015666361099}	{"novel":119,"canon":40625,"total":40744,"dtot":-3423,"db":1133831,"dpsm":-15023,"density":0.10495391288472444}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	12	6	0	3	-1129.5	BMDM-only version of this panel, whose +31 total-peptide gain is the best of 12 populations and was presented as if general	LiverRecruited	55460	{"novel":24,"canon":55420,"total":55444,"dtot":-16,"db":1483,"dpsm":-128,"density":16.183412002697235}	{"novel":37,"canon":53971,"total":54008,"dtot":-1452,"db":97161,"dpsm":-6815,"density":0.38081123084365126}	{"novel":112,"canon":50880,"total":50992,"dtot":-4468,"db":1139223,"dpsm":-21619,"density":0.09831262184840019}
