# P13_values.json -> WIDE (record table at 'populations', 12 rows)
source	fdr	unit	matched_population	n_populations	transfer_union	transfer_shared_frac_of_union	populations_with_any_overlap	n_transfer	population	matched	A_arm	A_n	A_cut	A_report_novel_psms	B_arm	B_n	B_cut	B_report_novel_psms	shared	a_only	b_only	same_scan_diff_peptide	union	jaccard	shared_peptides	a_only_peptides	b_only_peptides
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	Kupffer	false	model_predicted_attn	54	22.687	54	model_ribocode_bmdm_nt	36	20.163	36	10	44	26	0	80	0.125	6	13	11
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	LargeIntestinal	false	model_predicted_attn	75	19.403	75	model_ribocode_bmdm_nt	107	18.521999	107	46	29	61	0	136	0.33823529	11	8	16
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	LiverRecruited	false	model_predicted_attn	59	22.672001	59	model_ribocode_bmdm_nt	55	21.684	55	23	36	32	0	91	0.25274725	9	15	8
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	LungRecruited	false	model_predicted_attn	120	24.747999	120	model_ribocode_bmdm_nt	104	20.284	104	49	71	55	0	175	0.28	10	10	23
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	LungResident	false	model_predicted_attn	41	23.339001	41	model_ribocode_bmdm_nt	102	20.589001	102	24	16	77	1	119	0.20168067	16	11	37
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	Microglia	false	model_predicted_attn	11	24.243	11	model_ribocode_bmdm_nt	94	20.148001	94	5	6	89	0	100	0.05	4	4	18
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	Peritoneal	false	model_predicted_attn	114	18.832001	114	model_ribocode_bmdm_nt	107	18.797001	107	50	64	57	0	171	0.29239766	9	21	20
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	RAW264	false	model_predicted_attn	46	21.558001	46	model_ribocode_bmdm_nt	144	22.777	144	33	13	111	0	157	0.21019108	6	5	11
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	SmallIntestinal	false	model_predicted_attn	156	18.792999	156	model_ribocode_bmdm_nt	107	19.083	107	65	91	42	0	198	0.32828283	12	26	16
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	SpleenRecruited	false	model_predicted_attn	101	20.283001	101	model_ribocode_bmdm_nt	102	19.407	102	45	56	57	0	158	0.28481013	10	20	22
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	SpleenResident	false	model_predicted_attn	89	22.243999	89	model_ribocode_bmdm_nt	107	19.669001	107	36	53	71	0	160	0.225	10	21	23
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/novel_psm_venn.json	0.01	(spec_id, peptide)	BMDM	12	1545	0.24983819	11	11	BMDM	true	model_predicted_attn	90	20.681	90	model_ribocode_bmdm_nt	61	20.792	61	27	63	34	0	124	0.21774194	14	20	10
