dataset	model	arm	on_final_recipe	orf_class	tp	n_pred	n_ref	recall	source
hepatocyte	attn	pred_preddepth	True	annotated	13166		13208	0.9968	results/loto/orf_v2_attn_onehot_union_noBrain_nokozak_mm1_holdout_Hepatocytes/dropin_canonpack/dropin_metrics.json
hepatocyte	attn	pred_preddepth	True	novel	531		662	0.8021	results/loto/orf_v2_attn_onehot_union_noBrain_nokozak_mm1_holdout_Hepatocytes/dropin_canonpack/dropin_metrics.json
hepatocyte	attn	pred_preddepth	True	uORF	821		1341	0.6122	results/loto/orf_v2_attn_onehot_union_noBrain_nokozak_mm1_holdout_Hepatocytes/dropin_canonpack/dropin_metrics.json
hepatocyte	attn	pred_preddepth	True	internal	38		233	0.1631	results/loto/orf_v2_attn_onehot_union_noBrain_nokozak_mm1_holdout_Hepatocytes/dropin_canonpack/dropin_metrics.json
hepatocyte	attn	pred_preddepth	True	Overlap_uORF	379		601	0.6306	results/loto/orf_v2_attn_onehot_union_noBrain_nokozak_mm1_holdout_Hepatocytes/dropin_canonpack/dropin_metrics.json
hepatocyte	attn	pred_preddepth	True	dORF	15		143	0.1049	results/loto/orf_v2_attn_onehot_union_noBrain_nokozak_mm1_holdout_Hepatocytes/dropin_canonpack/dropin_metrics.json
hepatocyte	attn	pred_preddepth	True	Overlap_dORF	14		48	0.2917	results/loto/orf_v2_attn_onehot_union_noBrain_nokozak_mm1_holdout_Hepatocytes/dropin_canonpack/dropin_metrics.json
iPSC-CM	attn	pred_preddepth	True	annotated	11003		11035	0.9971	results/heldout/human_ruizorera/released_attn/dropin_canonpack/dropin_metrics.json
iPSC-CM	attn	pred_preddepth	True	novel	262		335	0.7821	results/heldout/human_ruizorera/released_attn/dropin_canonpack/dropin_metrics.json
iPSC-CM	attn	pred_preddepth	True	uORF	551		941	0.5855	results/heldout/human_ruizorera/released_attn/dropin_canonpack/dropin_metrics.json
iPSC-CM	attn	pred_preddepth	True	internal	16		111	0.1441	results/heldout/human_ruizorera/released_attn/dropin_canonpack/dropin_metrics.json
iPSC-CM	attn	pred_preddepth	True	Overlap_uORF	262		449	0.5835	results/heldout/human_ruizorera/released_attn/dropin_canonpack/dropin_metrics.json
iPSC-CM	attn	pred_preddepth	True	dORF	23		164	0.1402	results/heldout/human_ruizorera/released_attn/dropin_canonpack/dropin_metrics.json
iPSC-CM	attn	pred_preddepth	True	Overlap_dORF	15		52	0.2885	results/heldout/human_ruizorera/released_attn/dropin_canonpack/dropin_metrics.json
THP-1	attn	pred_preddepth	True	annotated	10299	10850	10327	0.9973	results/human_orf_calls_canon/scored/human_by_class.tsv
THP-1	attn	pred_preddepth	True	novel	673	3067	895	0.7520	results/human_orf_calls_canon/scored/human_by_class.tsv
THP-1	attn	pred_preddepth	True	uORF	550	805	1029	0.5345	results/human_orf_calls_canon/scored/human_by_class.tsv
THP-1	attn	pred_preddepth	True	internal	11	45	125	0.0880	results/human_orf_calls_canon/scored/human_by_class.tsv
THP-1	attn	pred_preddepth	True	Overlap_uORF	245	347	454	0.5396	results/human_orf_calls_canon/scored/human_by_class.tsv
THP-1	attn	pred_preddepth	True	dORF	26	89	308	0.0844	results/human_orf_calls_canon/scored/human_by_class.tsv
THP-1	attn	pred_preddepth	True	Overlap_dORF	16	46	87	0.1839	results/human_orf_calls_canon/scored/human_by_class.tsv
CAR-T	attn	pred_preddepth	True	annotated	7062	7433	7106	0.9938	results/human_orf_calls_canon/scored/human_by_class.tsv
CAR-T	attn	pred_preddepth	True	novel	123	688	179	0.6872	results/human_orf_calls_canon/scored/human_by_class.tsv
CAR-T	attn	pred_preddepth	True	uORF	346	666	479	0.7223	results/human_orf_calls_canon/scored/human_by_class.tsv
CAR-T	attn	pred_preddepth	True	internal	10	30	74	0.1351	results/human_orf_calls_canon/scored/human_by_class.tsv
CAR-T	attn	pred_preddepth	True	Overlap_uORF	172	294	254	0.6772	results/human_orf_calls_canon/scored/human_by_class.tsv
CAR-T	attn	pred_preddepth	True	dORF	9	54	127	0.0709	results/human_orf_calls_canon/scored/human_by_class.tsv
CAR-T	attn	pred_preddepth	True	Overlap_dORF	5	24	34	0.1471	results/human_orf_calls_canon/scored/human_by_class.tsv
