# P9_values.json -> WIDE (record table at 'intersections', 15 rows)
model	model_rna	arm	view	keying	n_test_tx	bars_drawn	bars_omitted	orfs_in_omitted_bars	pattern	n
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":true,"mamba4":true}	10714
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":false,"wang":false,"mamba4":true}	1942
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":true,"mamba4":false}	519
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":false,"mamba4":false}	397
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":false,"mamba4":false}	327
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":false,"mamba4":true}	324
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":false,"mamba4":false}	227
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":false,"mamba4":true}	155
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":false,"wang":true,"mamba4":false}	133
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":false,"mamba4":true}	94
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":true,"mamba4":false}	85
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":true,"mamba4":true}	63
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":false,"wang":true,"mamba4":true}	48
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":true,"mamba4":true}	43
mamba4	gse243134	pred_preddepth	all ORF classes	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":true,"mamba4":false}	41
