# S_metagene_values.json -> LONG (no record table; one row per value)
path	value
position_semantics	P-SITE, not read 5' end. Pack targets come from RiboCode process_bam after applying the metaplots-derived per-read-length offset.
anchor_zero	start: first nt of the start codon (A of AUG). stop: first nt of the stop codon.
n_tx	71116
n_tissues	8
tissues	Fibroblast;ES;Fat;HA_EC;HCAEC;HUVEC;Hepatocytes;VSMC
cds_frame_fraction_first150nt.frame0	0.82258341
cds_frame_fraction_first150nt.frame1	0.090950874
cds_frame_fraction_first150nt.frame2	0.086465714
start_peak_psites_per_tx	83.869187
mean_5utr_psites_per_tx	1.7094426
mean_cds_psites_per_tx	7.8320161
start_peak_over_utr	49.0623
cds_over_utr	4.5816197
start_window	-50;150
stop_window	-150;50
source	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/metagene
