tissue	anchor	offset_nt	psites	n_tx	psites_norm
Fibroblast	start	-50	99282	60411	150.588890
Fibroblast	start	-49	135095	60609	154.258669
Fibroblast	start	-48	189443	60855	157.209790
Fibroblast	start	-47	107689	61042	153.974256
Fibroblast	start	-46	126691	61219	157.570300
Fibroblast	start	-45	183155	61408	145.449470
Fibroblast	start	-44	154441	61615	145.630116
Fibroblast	start	-43	111420	61807	132.688312
Fibroblast	start	-42	204563	62046	141.844353
Fibroblast	start	-41	161211	62268	151.360444
Fibroblast	start	-40	145655	62524	144.544686
Fibroblast	start	-39	178290	62741	146.147988
Fibroblast	start	-38	100332	62960	138.499417
Fibroblast	start	-37	120869	63199	130.403829
Fibroblast	start	-36	224118	63456	156.181048
Fibroblast	start	-35	147130	63701	133.712237
Fibroblast	start	-34	128607	63909	131.670878
Fibroblast	start	-33	193548	64160	147.426341
Fibroblast	start	-32	114921	64386	136.005385
Fibroblast	start	-31	133836	64652	138.259378
Fibroblast	start	-30	206024	64947	148.239935
Fibroblast	start	-29	122451	65224	131.188606
Fibroblast	start	-28	218212	65468	156.683853
Fibroblast	start	-27	269646	65731	152.066450
Fibroblast	start	-26	124451	66047	129.897329
Fibroblast	start	-25	170484	66294	164.136130
Fibroblast	start	-24	213220	66565	151.751033
Fibroblast	start	-23	152396	66820	138.461151
Fibroblast	start	-22	132158	67079	153.204276
Fibroblast	start	-21	186579	67368	153.741912
Fibroblast	start	-20	154289	67610	131.998898
Fibroblast	start	-19	156902	67832	129.313118
Fibroblast	start	-18	253984	68020	163.753772
Fibroblast	start	-17	284247	68233	142.023108
Fibroblast	start	-16	145229	68458	119.959832
Fibroblast	start	-15	208895	68683	136.237891
Fibroblast	start	-14	188143	68866	136.966593
Fibroblast	start	-13	227570	69077	155.686821
Fibroblast	start	-12	300202	69263	158.791908
Fibroblast	start	-11	169274	69448	149.417319
Fibroblast	start	-10	226429	69590	129.248185
Fibroblast	start	-9	239260	69764	129.740390
Fibroblast	start	-8	125849	69882	109.068245
Fibroblast	start	-7	82843	69986	81.850014
Fibroblast	start	-6	152440	70096	92.881926
Fibroblast	start	-5	180801	70186	126.636959
Fibroblast	start	-4	77556	70278	62.265847
Fibroblast	start	-3	184229	70332	104.654731
Fibroblast	start	-2	189001	70374	168.795450
Fibroblast	start	-1	952325	70414	433.358436
Fibroblast	start	0	13269164	71116	3666.688315
Fibroblast	start	1	902044	71116	338.306282
Fibroblast	start	2	560585	71116	230.444263
Fibroblast	start	3	3864594	71115	1244.289374
Fibroblast	start	4	306888	71115	156.514608
Fibroblast	start	5	210408	71115	130.679748
Fibroblast	start	6	1819228	71112	633.873336
Fibroblast	start	7	190293	71111	100.729729
Fibroblast	start	8	298172	71109	176.739467
Fibroblast	start	9	2060172	71108	801.430809
Fibroblast	start	10	148857	71103	91.614391
Fibroblast	start	11	311889	71100	162.780651
Fibroblast	start	12	2440807	71098	818.540399
Fibroblast	start	13	217486	71097	122.785659
Fibroblast	start	14	328916	71094	173.084989
Fibroblast	start	15	2123298	71090	743.397724
Fibroblast	start	16	257940	71085	129.697829
Fibroblast	start	17	311073	71085	150.319893
Fibroblast	start	18	1667910	71083	721.752840
Fibroblast	start	19	196684	71081	114.476262
Fibroblast	start	20	243398	71078	133.512697
Fibroblast	start	21	1994079	71077	706.237954
Fibroblast	start	22	237325	71076	121.617217
Fibroblast	start	23	315734	71074	130.679727
Fibroblast	start	24	1976453	71073	680.357129
Fibroblast	start	25	268208	71072	120.988835
Fibroblast	start	26	360206	71070	133.928538
Fibroblast	start	27	2174239	71065	669.440258
Fibroblast	start	28	247333	71063	112.980955
Fibroblast	start	29	324212	71061	141.980185
Fibroblast	start	30	2094579	71058	730.983275
Fibroblast	start	31	227989	71054	124.668069
Fibroblast	start	32	324477	71052	136.021823
Fibroblast	start	33	2421697	71050	724.559094
Fibroblast	start	34	371884	71049	118.476157
Fibroblast	start	35	361981	71046	136.582812
Fibroblast	start	36	3212398	71045	713.878397
Fibroblast	start	37	281112	71045	118.360944
Fibroblast	start	38	350534	71042	139.513546
Fibroblast	start	39	2279079	71039	720.703513
Fibroblast	start	40	255112	71035	116.296950
Fibroblast	start	41	413400	71031	148.457686
Fibroblast	start	42	2082660	71026	688.064264
Fibroblast	start	43	211566	71024	109.147712
Fibroblast	start	44	279551	71021	139.768400
Fibroblast	start	45	2389692	71018	743.124350
Fibroblast	start	46	238185	71014	118.419914
Fibroblast	start	47	323069	71013	143.358746
Fibroblast	start	48	2115457	71011	739.998068
Fibroblast	start	49	229729	71007	117.095169
Fibroblast	start	50	323218	71006	147.750344
Fibroblast	start	51	2481088	71004	737.319017
Fibroblast	start	52	226627	70996	116.994447
Fibroblast	start	53	271298	70994	134.460395
Fibroblast	start	54	2008528	70992	725.625964
Fibroblast	start	55	189129	70991	113.632451
Fibroblast	start	56	293127	70989	133.520088
Fibroblast	start	57	2509057	70988	767.162394
Fibroblast	start	58	316020	70984	117.748315
Fibroblast	start	59	430738	70981	143.014734
Fibroblast	start	60	3113525	70980	784.571758
Fibroblast	start	61	240038	70980	118.257540
Fibroblast	start	62	353462	70978	147.594837
Fibroblast	start	63	2598625	70973	773.254042
Fibroblast	start	64	261406	70970	123.216193
Fibroblast	start	65	305486	70966	145.457838
Fibroblast	start	66	2328872	70960	786.630990
Fibroblast	start	67	254317	70953	124.525302
Fibroblast	start	68	349797	70951	147.603938
Fibroblast	start	69	2644437	70947	794.105330
Fibroblast	start	70	265486	70943	124.998874
Fibroblast	start	71	351589	70940	135.751778
Fibroblast	start	72	2589339	70938	806.104071
Fibroblast	start	73	277549	70931	125.799990
Fibroblast	start	74	338595	70926	146.171056
Fibroblast	start	75	2357357	70920	823.144204
Fibroblast	start	76	268888	70917	128.822222
Fibroblast	start	77	345389	70912	141.418506
Fibroblast	start	78	2263647	70910	784.678627
Fibroblast	start	79	291871	70904	116.653437
Fibroblast	start	80	301803	70902	141.965184
Fibroblast	start	81	2148545	70901	806.238527
Fibroblast	start	82	244326	70898	130.157135
Fibroblast	start	83	334794	70898	145.134329
Fibroblast	start	84	2296678	70892	802.389632
Fibroblast	start	85	280899	70888	128.476139
Fibroblast	start	86	387324	70887	140.045999
Fibroblast	start	87	2523273	70881	794.791004
Fibroblast	start	88	258581	70880	126.837445
Fibroblast	start	89	339032	70876	132.168829
Fibroblast	start	90	2868900	70871	810.910590
Fibroblast	start	91	274874	70867	134.491083
Fibroblast	start	92	333082	70865	148.386415
Fibroblast	start	93	2289951	70860	799.094973
Fibroblast	start	94	286094	70851	132.167855
Fibroblast	start	95	324533	70848	151.134385
Fibroblast	start	96	2606451	70845	808.130470
