# riboseq_qc_values.json -> WIDE (record table at 'datasets', 16 rows)
label	role	path	n_libraries	mode_read_length	mean_read_length	f0_frac	f1_frac	f2_frac	psites_at_cds	psite_offsets	offset_range
ES	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/ES/ES_pre_config.txt	6	28	28.113193	0.8596958	0.084874732	0.055429471	2184596	[6,9,12]	6
VSMC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/VSMC/VSMC_pre_config.txt	11	28	28.425026	0.83385415	0.091435652	0.074710197	2823122	[5,6,9,12,15]	10
Hepatocytes	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/Hepatocytes/Hepatocytes_pre_config.txt	5	28	28.594854	0.82297418	0.099825784	0.077200034	5648741	[6,9,12]	6
Fibroblast	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/Fibroblast/Fibroblast_pre_config.txt	32	28	28.66893	0.81550696	0.086620794	0.09787225	5221102	[6,9,12,15]	9
HCAEC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/HCAEC/HCAEC_pre_config.txt	5	29	28.937689	0.80987593	0.097605126	0.092518948	3932816	[12]	0
Fat	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/Fat/Fat_pre_config.txt	6	29	28.718795	0.79413934	0.10475077	0.10110989	1889924	[12]	0
HA_EC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/HA_EC/HA_EC_pre_config.txt	6	29	28.751295	0.77430982	0.08785137	0.13783881	1126983	[6,9,12]	6
Brain	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/Brain/Brain_pre_config.txt	5	28	27.473061	0.76294362	0.1031622	0.13389418	780848	[9,11,12]	3
HUVEC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/biotype_probe/expression_context_human/data/ribocode_per_tissue/HUVEC/HUVEC_pre_config.txt	3	29	29.256224	0.749336	0.10746015	0.14320385	497738	[12]	0
GSE120762 NT (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/heldout_psites/mouse_gse120762_nt/mouse_gse120762_nt_pre_config.txt	2	28	27.892231	0.87920764	0.060190188	0.060602172	148064	[6]	0
GSE120762 LPS (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/heldout_psites/mouse_gse120762_lps/mouse_gse120762_lps_pre_config.txt	2	28	28.244236	0.86098339	0.082263475	0.056753139	577413	[6,12]	6
GSE155087 T-cell (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/heldout_psites/mouse_gse155087_tcell/mouse_gse155087_tcell_pre_config.txt	5	29	28.696201	0.82222904	0.087543472	0.090227484	2130393	[9,12]	3
Ruiz-Orera (human)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/heldout_psites/human_ruizorera/human_ruizorera_pre_config.txt	5	28	28.037696	0.80356873	0.094692484	0.10173879	2900811	[9,12]	3
Wang liver (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/heldout_psites/mouse_wang_liver/mouse_wang_liver_pre_config.txt	2	29	29.318454	0.77621124	0.11767898	0.10610978	2039812	[12,13]	1
B721.221	pgx	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/ribocode/B721_pre_config.txt	7	29	29.073685	0.78672746	0.088021983	0.12525056	18808188	[12]	0
HBL-1	pgx	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/HBL1_pilot/ribocode/HBL1_DMSO_pre_config.txt	2	34	33.396098	0.74793417	0.086605359	0.16546047	128641	[12]	0
