# depth_curve_summary.json -> WIDE (record table at 'measurement_curve', 13 rows)
full_depth_psites	pred_preddepth_f1	pred_obsdepth_f1	depth_frac	abs_psites	mean_f1
6.2996885e+08	0.81761176	0.81896954	0.0005	314984.43	0.27101828
6.2996885e+08	0.81761176	0.81896954	0.001	629968.85	0.41408046
6.2996885e+08	0.81761176	0.81896954	0.002	1259937.7	0.54511906
6.2996885e+08	0.81761176	0.81896954	0.005	3149844.3	0.67145206
6.2996885e+08	0.81761176	0.81896954	0.01	6299688.5	0.73313104
6.2996885e+08	0.81761176	0.81896954	0.02	12599377	0.77878468
6.2996885e+08	0.81761176	0.81896954	0.035	22048910	0.80531099
6.2996885e+08	0.81761176	0.81896954	0.05	31498443	0.82069764
6.2996885e+08	0.81761176	0.81896954	0.07	44097820	0.83168193
6.2996885e+08	0.81761176	0.81896954	0.1	62996885	0.84377791
6.2996885e+08	0.81761176	0.81896954	0.2	1.2599377e+08	0.86020159
6.2996885e+08	0.81761176	0.81896954	0.35	2.204891e+08	0.86994273
6.2996885e+08	0.81761176	0.81896954	1	6.2996885e+08	0.8810789
