dataset	role	on_recipe	psites	psites_source	n_tx	f0_frac	f0_source	n_libraries	mode_read_length	n_rna_libraries	rna_coverage_total	rna_source	accession_rna	pack	note
ES	train	True	494036270	data/packed_canon_ES/target_counts.npy	84472	0.8581817627563633	metaplots (riboseq_qc_values.json)	6	28	2	47097350702	packed_union_ES (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon_ES	
Fat	train	True	565127456	data/packed_canon_Fat/target_counts.npy	84472	0.7925138075817544	metaplots (riboseq_qc_values.json)	6	29	2	41613345587	packed_union_Fat (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon_Fat	
Fibroblast	train	True	1069763798	data/packed_canon/target_counts.npy	84472	0.8126503260249975	metaplots (riboseq_qc_values.json)	32	28	32	1199211035619	packed_union (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon	
HA_EC	train	True	168061399	data/packed_canon_HA_EC/target_counts.npy	84472	0.7724696601440678	metaplots (riboseq_qc_values.json)	6	29	6	130106560200	packed_union_HA_EC (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon_HA_EC	
HCAEC	train	True	698883779	data/packed_canon_HCAEC/target_counts.npy	84472	0.8074303281845719	metaplots (riboseq_qc_values.json)	5	29	3	52017603880	packed_union_HCAEC (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon_HCAEC	
Hepatocytes	holdout	True	1134988915	data/packed_canon_Hepatocytes/target_counts.npy	84472	0.8219779553218703	metaplots (riboseq_qc_values.json)	5	28	2	45485421439	packed_union_Hepatocytes (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon_Hepatocytes	LOTO holdout, not trained on
HUVEC	train	True	93886013	data/packed_canon_HUVEC/target_counts.npy	84472	0.7463787625868289	metaplots (riboseq_qc_values.json)	3	29	3	65423138082	packed_union_HUVEC (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon_HUVEC	
VSMC	train	True	474479065	data/packed_canon_VSMC/target_counts.npy	84472	0.8317819513863571	metaplots (riboseq_qc_values.json)	11	28	5	128539318103	packed_union_VSMC (coverage_total identical, so the same pooled RNA)	GSE182372	data/packed_canon_VSMC	
Brain	dropped	False	193721526	data/packed_Brain/target_counts.npy	36668	0.761513125559486	metaplots (riboseq_qc_values.json)	5	28	2	10388667086	loto_rnaseq_srr_tissue.tsv (run->tissue map)	GSE182372	data/packed_Brain	EXCLUDED on period_obs 0.044. Depth is OFF-RECIPE (pack 2026-07-11); frame-0 is on-recipe.
iPSC-CM (Ruiz-Orera)	heldout	False	324003052	data/packed_heldout_human_ruizorera/target_counts.npy	36668	0.8035687261252112	metaplots (riboseq_qc_values.json)	5	28	5	72786852478	coverage_norm.json n_rna_samples		data/packed_heldout_human_ruizorera	RECIPE STATUS UNKNOWN, not confirmed off-recipe: BAMs + source hd5 deleted and no align script survives, so nothing is left to check. Pack predates the 2026-08-12 adoption. FASTQs re-downloaded from ENA 2026-08-15 (md5-verified) to settle it by rebuilding. Task #92.
THP-1 GSE208041	heldout	True	293622225	data/packed_heldout_human_gse208041_canon/target_counts.npy	39611	0.8398236336958478	metaplots (riboseq_qc_values.json)	5	28	4	177114003727	provenance.json rna_coverage_inputs		data/packed_heldout_human_gse208041_canon	
CAR-T GSE304796	heldout	True	57154042	data/packed_heldout_human_cart_canon/target_counts.npy	23887	0.7851160002050537	metaplots (riboseq_qc_values.json)	3	26	3	13866297420	provenance.json rna_coverage_inputs		data/packed_heldout_human_cart_canon	
THP-1 GSE39561	dropped	True	0	data/packed_heldout_human_gse39561_canon/target_counts.npy	39611	0.407	results.md:2813 (pooled frame concentration at annotated CDS starts)			4	177114003727	provenance.json rna_coverage_inputs		data/packed_heldout_human_gse39561_canon	EXCLUDED: zero periodic read lengths. 0 P-sites IS the measurement. metaplots wrote no table, so frame-0 comes from prose (40.7%, results.md:2813) -- same quantity as f0_frac.
Wang liver (mouse)	heldout	True	74504278	data/liver3x3/pool_wang_canon/target_counts.npy	22974	0.7747372561415313	metaplots (riboseq_qc_values.json)	2	29	2	6884416652	provenance.json rna_coverage_inputs		data/liver3x3/pool_wang_canon	
GSE120762 NT (mouse)	heldout	True	14692794	data/packed_heldout_mouse_gse120762_nt_canon/target_counts.npy	21867	0.8772726356865089	metaplots (riboseq_qc_values.json)	2	28	3	16008372328	provenance.json rna_coverage_inputs		data/packed_heldout_mouse_gse120762_nt_canon	
GSE120762 LPS (mouse)	heldout	True	38636019	data/packed_heldout_mouse_gse120762_lps_canon/target_counts.npy	19528	0.8606926981755813	metaplots (riboseq_qc_values.json)	2	28	2	14503552568	provenance.json rna_coverage_inputs		data/packed_heldout_mouse_gse120762_lps_canon	
GSE155087 T-cell (mouse)	heldout	True	78062480	data/packed_heldout_mouse_gse155087_tcell_canon/target_counts.npy	20618	0.8218818875229554	metaplots (riboseq_qc_values.json)	5	29	3	14682879545	provenance.json rna_coverage_inputs		data/packed_heldout_mouse_gse155087_tcell_canon	
B721.221	pgx	True	327000000	Ouspenskaia measured Ribo-seq footprints, the A4 reference (figures/A4_b721_ground_truth/FIGURE_DATA_INPUTS.md); the pack itself is coverage-only		0.7867274614651873	metaplots (riboseq_qc_values.json)	7	29	1	3985294080	provenance.json rna_coverage_inputs			ON-RECIPE (align_b721_ribo.sbatch: EndToEnd + mm1 + filter_tx_heldout; 7/7 BAMs carry the filter's @PG). A 2026-08-15 audit wrongly called this off-recipe by scraping logs/. Depth is the MEASURED reference (Ouspenskaia), not a pack: packed_heldout_human_b721 is COVERAGE-ONLY BY DESIGN -- Ribo-free input for standalone prediction, target_counts deliberately 0. Do not read that 0 as a measurement.
HBL-1	pgx	True				0.747934173397284	metaplots (riboseq_qc_values.json)	2	34						no pack in this project
