# E3_all_rna_cells.json -> WIDE (record table at 'cells', 18 rows)
what	plotted_cell	classes	model_cell_convention	orf_class	ribo_reference	rna_input	model	arm	recall	n_ref	tp	wang_recall	margin_vs_wang	is_plotted_cell
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	annotated	gse243134	gse243134	attn	pred_preddepth	0.9964	10383	10346	0.9864	0.01	true
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	annotated	gse243134	janich	attn	pred_preddepth	0.9968	10383	10350	0.9864	0.0104	false
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	annotated	gse243134	wang	attn	pred_preddepth	0.9977	10383	10359	0.9864	0.0113	false
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	annotated	janich	gse243134	attn	pred_preddepth	0.9969	10361	10329	0.9877	0.0092	true
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	annotated	janich	janich	attn	pred_preddepth	0.9975	10361	10335	0.9877	0.0098	false
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	annotated	janich	wang	attn	pred_preddepth	0.9978	10361	10338	0.9877	0.0101	false
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	novel	gse243134	gse243134	attn	pred_preddepth	0.6953	663	461	0.5747	0.1206	true
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	novel	gse243134	janich	attn	pred_preddepth	0.6953	663	461	0.5747	0.1206	false
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	novel	gse243134	wang	attn	pred_preddepth	0.6833	663	453	0.5747	0.1086	false
every attn / pred_preddepth cell behind E3 panel B, all 3 RNA inputs, all 3 plotted classes	rna_input == gse243134 (fixed, not argmax); is_plotted_cell marks it	annotated added 2026-08-16	E3 uses the model cell whose RIBO REFERENCE MATCHES the reference being scored. P9's UpSet instead pins ONE model cell (ribo-gse243134/rna-gse243134) against all three references and loads every set on that cell's transcript space. The two therefore report different model recall by up to 2.3 points; both are internally correct and they must not be mixed.	novel	janich	gse243134	attn	pred_preddepth	0.7188	601	432	0.6123	0.1065	true
