# P12_values.json -> WIDE (record table at 'populations', 12 rows)
source_dir	search_parameters	model_arm	min_aa	density_ratio_ribo_over_model	n_populations	matched_population	n_transfer	mzml_per_population	pop	baseline_total	model_predicted_attn	model_ribocode_bmdm_nt	model_ribocode_bmdm
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	Kupffer	52067	{"novel":19,"total":52076,"dtot":9,"db":1034,"density":18.3752417794971}	{"novel":15,"total":52039,"dtot":-28,"db":506,"density":29.64426877470356}	{"novel":21,"total":52033,"dtot":-34,"db":1265,"density":16.600790513833992}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	LargeIntestinal	54562	{"novel":19,"total":54579,"dtot":17,"db":892,"density":21.300448430493272}	{"novel":26,"total":54604,"dtot":42,"db":506,"density":51.383399209486164}	{"novel":34,"total":54588,"dtot":26,"db":1265,"density":26.877470355731226}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	LiverRecruited	55460	{"novel":24,"total":55444,"dtot":-16,"db":1483,"density":16.183412002697235}	{"novel":17,"total":55440,"dtot":-20,"db":506,"density":33.59683794466403}	{"novel":24,"total":55371,"dtot":-89,"db":1265,"density":18.972332015810277}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	LungRecruited	44167	{"novel":20,"total":44160,"dtot":-7,"db":1469,"density":13.614703880190605}	{"novel":26,"total":44193,"dtot":26,"db":506,"density":51.383399209486164}	{"novel":31,"total":44180,"dtot":13,"db":1265,"density":24.50592885375494}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	LungResident	69860	{"novel":27,"total":69842,"dtot":-18,"db":1124,"density":24.02135231316726}	{"novel":48,"total":69894,"dtot":34,"db":506,"density":94.86166007905139}	{"novel":62,"total":69876,"dtot":16,"db":1265,"density":49.01185770750988}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	Microglia	48031	{"novel":8,"total":48025,"dtot":-6,"db":388,"density":20.61855670103093}	{"novel":22,"total":48049,"dtot":18,"db":506,"density":43.47826086956522}	{"novel":34,"total":48043,"dtot":12,"db":1265,"density":26.877470355731226}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	Peritoneal	55744	{"novel":30,"total":55772,"dtot":28,"db":879,"density":34.129692832764505}	{"novel":29,"total":55758,"dtot":14,"db":506,"density":57.312252964426875}	{"novel":42,"total":55719,"dtot":-25,"db":1265,"density":33.201581027667984}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	RAW264	60449	{"novel":9,"total":60424,"dtot":-25,"db":1091,"density":8.249312557286892}	{"novel":17,"total":60431,"dtot":-18,"db":506,"density":33.59683794466403}	{"novel":27,"total":60430,"dtot":-19,"db":1265,"density":21.343873517786562}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	SmallIntestinal	52914	{"novel":37,"total":52950,"dtot":36,"db":916,"density":40.39301310043668}	{"novel":28,"total":52934,"dtot":20,"db":506,"density":55.33596837944664}	{"novel":38,"total":52926,"dtot":12,"db":1265,"density":30.039525691699605}
/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/macrophage_tissue/pgx_xsubtype_aa30/reports	frozen	model_predicted_attn	30	2.4123154	12	BMDM	11	18	SpleenRecruited	45340	{"novel":30,"total":45349,"dtot":9,"db":1326,"density":22.624434389140273}	{"novel":30,"total":45374,"dtot":34,"db":506,"density":59.28853754940712}	{"novel":31,"total":45359,"dtot":19,"db":1265,"density":24.50592885375494}
