population	matched	A_n	B_n	shared	a_only	b_only	same_scan_diff_peptide	jaccard	A_cut	B_cut	shared_peptides	a_only_peptides	b_only_peptides
Kupffer	False	54	36	10	44	26	0	0.125	22.687	20.163	6	13	11
LargeIntestinal	False	75	107	46	29	61	0	0.3382352941176471	19.403	18.521999	11	8	16
LiverRecruited	False	59	55	23	36	32	0	0.25274725274725274	22.672001	21.684	9	15	8
LungRecruited	False	120	104	49	71	55	0	0.28	24.747999	20.284	10	10	23
LungResident	False	41	102	24	16	77	1	0.20168067226890757	23.339001	20.589001	16	11	37
Microglia	False	11	94	5	6	89	0	0.05	24.243	20.148001	4	4	18
Peritoneal	False	114	107	50	64	57	0	0.29239766081871343	18.832001	18.797001	9	21	20
RAW264	False	46	144	33	13	111	0	0.21019108280254778	21.558001	22.777	6	5	11
SmallIntestinal	False	156	107	65	91	42	0	0.3282828282828283	18.792999	19.083	12	26	16
SpleenRecruited	False	101	102	45	56	57	0	0.2848101265822785	20.283001	19.407	10	20	22
SpleenResident	False	89	107	36	53	71	0	0.225	22.243999	19.669001	10	21	23
BMDM	True	90	61	27	63	34	0	0.21774193548387097	20.681	20.792	14	20	10
