# P9_values_2models_uorf.json -> WIDE (record table at 'intersections', 31 rows)
model	model_rna	arm	view	keying	n_test_tx	bars_drawn	bars_omitted	orfs_in_omitted_bars	pattern	n
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":true,"wang":true,"attn":true,"mamba4":true}	229
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":false,"gse243134":false,"wang":false,"attn":true,"mamba4":true}	139
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":false,"gse243134":false,"wang":false,"attn":true,"mamba4":false}	120
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":true,"wang":false,"attn":true,"mamba4":true}	75
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":false,"gse243134":true,"wang":false,"attn":false,"mamba4":false}	68
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":true,"wang":true,"attn":false,"mamba4":false}	62
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":true,"wang":true,"attn":true,"mamba4":false}	57
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":true,"wang":false,"attn":false,"mamba4":false}	56
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":false,"gse243134":false,"wang":false,"attn":false,"mamba4":true}	43
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":true,"wang":false,"attn":true,"mamba4":false}	39
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":false,"gse243134":true,"wang":false,"attn":true,"mamba4":true}	34
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":false,"gse243134":true,"wang":false,"attn":true,"mamba4":false}	31
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":false,"wang":false,"attn":false,"mamba4":false}	22
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":false,"wang":false,"attn":true,"mamba4":false}	14
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":true,"wang":false,"attn":false,"mamba4":true}	14
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":true,"gse243134":false,"wang":false,"attn":true,"mamba4":true}	14
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	20	11	31	{"janich":false,"gse243134":false,"wang":true,"attn":false,"mamba4":false}	13
