# P9_values_uorf.json -> WIDE (record table at 'intersections', 15 rows)
model	model_rna	arm	view	keying	n_test_tx	bars_drawn	bars_omitted	orfs_in_omitted_bars	pattern	n
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":true,"mamba4":true}	242
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":false,"wang":false,"mamba4":true}	182
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":true,"mamba4":false}	119
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":false,"mamba4":false}	99
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":false,"mamba4":false}	95
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":true,"wang":false,"mamba4":true}	89
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":false,"mamba4":false}	36
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":false,"mamba4":true}	36
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":false,"mamba4":true}	20
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":false,"wang":true,"mamba4":false}	15
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":true,"mamba4":false}	12
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":true,"mamba4":false}	9
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":false,"wang":true,"mamba4":true}	7
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":false,"gse243134":true,"wang":true,"mamba4":true}	5
mamba4	gse243134	pred_preddepth	uORFs (5'UTR, non-overlapping)	genomic (gene_id, ORF_gstop)	22974	15	0	0	{"janich":true,"gse243134":false,"wang":true,"mamba4":true}	3
