# fdr_rigor_values.json -> WIDE (record table at 'records', 15 rows)
model	fdr	dataset	arm	db_novel_seqs	global_cut	class_cut	canon_peptides_global	novel_global	novel_class
mamba4	0.01	HBL1	null_atg	276698	18.43	20.118	2305	39	20
mamba4	0.01	HBL1	cpat	15810	18.219	20.681999	2406	7	3
mamba4	0.01	HBL1	cpc2	15250	18.167999	16.495001	2428	7	10
mamba4	0.01	HBL1	model_standard	10345	18.219	20.355	2407	17	8
mamba4	0.01	HBL1	model_poisson	1837	18.167999	14.013	2429	9	14
mamba4	0.01	SUDHL4	null_atg	259701	17.822001	16.952999	832	23	28
mamba4	0.01	SUDHL4	cpat	8269	17.931999	16.952999	813	7	7
mamba4	0.01	SUDHL4	cpc2	8380	17.931999	13.328	813	6	14
mamba4	0.01	SUDHL4	model_standard	10351	17.931999	12.988	813	12	22
mamba4	0.01	SUDHL4	model_poisson	1621	17.931999	9.445	813	7	10
mamba4	0.01	DoHH2	null_atg	242512	17.388	20.337999	1511	29	13
mamba4	0.01	DoHH2	cpat	7592	17.388	16.589001	1514	2	4
mamba4	0.01	DoHH2	cpc2	7717	17.388	13.74	1514	2	8
mamba4	0.01	DoHH2	model_standard	8198	17.163	14.692	1570	17	32
mamba4	0.01	DoHH2	model_poisson	1955	17.388	14.939	1514	8	14
