tissue	anchor	offset_nt	psites	n_tx	psites_norm
pooled	start	-50	505475	483288	1191.997415
pooled	start	-49	649535	484872	1246.557812
pooled	start	-48	955189	486840	1351.846710
pooled	start	-47	572014	488336	1202.736378
pooled	start	-46	661138	489752	1232.734579
pooled	start	-45	1032242	491264	1293.338422
pooled	start	-44	754749	492920	1189.365801
pooled	start	-43	565164	494456	1131.740706
pooled	start	-42	854426	496368	1158.874565
pooled	start	-41	773950	498144	1191.467486
pooled	start	-40	672474	500192	1145.566224
pooled	start	-39	840273	501928	1216.573684
pooled	start	-38	516482	503680	1142.305654
pooled	start	-37	727288	505592	1101.097080
pooled	start	-36	1142827	507648	1301.389412
pooled	start	-35	684319	509608	1116.982746
pooled	start	-34	678855	511272	1067.293982
pooled	start	-33	996365	513280	1144.927460
pooled	start	-32	617790	515088	1084.427897
pooled	start	-31	654570	517216	1107.135372
pooled	start	-30	1087282	519576	1143.032987
pooled	start	-29	625029	521792	1034.424798
pooled	start	-28	1060270	523744	1260.129709
pooled	start	-27	1603639	525848	1218.942603
pooled	start	-26	668781	528376	1099.522279
pooled	start	-25	858351	530352	1273.953986
pooled	start	-24	1178587	532520	1231.503248
pooled	start	-23	937572	534560	1110.043780
pooled	start	-22	770831	536632	1247.386392
pooled	start	-21	1045596	538944	1293.100789
pooled	start	-20	780466	540880	1075.722748
pooled	start	-19	736482	542656	1070.676042
pooled	start	-18	1356244	544160	1280.743528
pooled	start	-17	1549213	545864	1172.854407
pooled	start	-16	966533	547664	1034.478489
pooled	start	-15	1154834	549464	1094.210921
pooled	start	-14	1129545	550928	1211.118722
pooled	start	-13	1184176	552616	1268.143667
pooled	start	-12	1492487	554104	1354.483405
pooled	start	-11	1001756	555584	1377.896013
pooled	start	-10	1073972	556720	1123.495173
pooled	start	-9	1348546	558112	1170.875496
pooled	start	-8	813736	559056	1050.297615
pooled	start	-7	567231	559888	870.710466
pooled	start	-6	977909	560768	1003.063760
pooled	start	-5	1027659	561488	1189.645865
pooled	start	-4	532332	562224	818.309309
pooled	start	-3	999871	562656	979.639822
pooled	start	-2	1385639	562992	1467.141867
pooled	start	-1	2963875	563312	2545.023368
pooled	start	0	47715529	568928	21829.198720
pooled	start	1	3338971	568928	2242.929995
pooled	start	2	1949150	568928	1783.662113
pooled	start	3	16771333	568920	9376.218644
pooled	start	4	1330013	568920	1219.587975
pooled	start	5	1004016	568920	1219.557673
pooled	start	6	8247464	568896	5618.435920
pooled	start	7	985285	568888	1030.032332
pooled	start	8	1293181	568872	1542.877271
pooled	start	9	11820992	568864	8054.272500
pooled	start	10	906997	568824	922.077660
pooled	start	11	1209733	568800	1295.436105
pooled	start	12	13715588	568784	8416.053153
pooled	start	13	1051131	568776	1076.824555
pooled	start	14	993273	568752	1044.172024
pooled	start	15	8908117	568720	5725.314423
