# riboseq_qc_values.json -> WIDE (record table at 'datasets', 18 rows)
label	role	path	n_libraries	mode_read_length	mean_read_length	f0_frac	f1_frac	f2_frac	psites_at_start_window	psite_offsets	offset_range
ES	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_ES/canon_ES_pre_config.txt	6	28	28.112737	0.85818176	0.086010607	0.055807631	2099462	[6,9,12]	6
VSMC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_VSMC/canon_VSMC_pre_config.txt	11	28	28.459724	0.83178195	0.091927786	0.076290263	2751203	[5,6,9,12,15]	10
Hepatocytes	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_Hepatocytes/canon_Hepatocytes_pre_config.txt	5	28	28.595496	0.82197796	0.099852661	0.078169383	5506363	[6,9,12,18]	12
Fibroblast	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_Fibroblast/canon_Fibroblast_pre_config.txt	32	28	28.661255	0.81265033	0.087274995	0.10007468	5034890	[6,9,12,15]	9
HCAEC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_HCAEC/canon_HCAEC_pre_config.txt	5	29	28.934752	0.80743033	0.09842908	0.094140592	3803439	[12,18]	6
Fat	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_Fat/canon_Fat_pre_config.txt	6	29	28.715872	0.79251381	0.10542564	0.10206055	1860572	[6,12]	6
HA_EC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_HA_EC/canon_HA_EC_pre_config.txt	6	29	28.748284	0.77246966	0.08860605	0.13892429	1089903	[6,9,12]	6
HUVEC	train	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_HUVEC/canon_HUVEC_pre_config.txt	3	29	29.258489	0.74637876	0.10823327	0.14538797	482846	[12]	0
GSE120762 NT (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/packed_heldout_mouse_gse120762_nt_canon/_work/psites/mouse_gse120762_nt_canon_pre_config.txt	2	28	27.890773	0.87727264	0.060977494	0.061749871	148891	[6]	0
GSE120762 LPS (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/packed_heldout_mouse_gse120762_lps_canon/_work/psites/mouse_gse120762_lps_canon_pre_config.txt	2	28	28.244461	0.8606927	0.082302862	0.05700444	578376	[6,12]	6
THP-1 GSE208041	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/packed_heldout_human_gse208041_canon/_work/psites/human_gse208041_canon_pre_config.txt	5	28	27.888105	0.83982363	0.071497699	0.088678668	1505503	[6,9,12]	6
GSE155087 T-cell (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/packed_heldout_mouse_gse155087_tcell_canon/_work/psites/mouse_gse155087_tcell_canon_pre_config.txt	5	29	28.696302	0.82188189	0.087683954	0.090434158	2132933	[9,12]	3
Ruiz-Orera (human)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/heldout_psites/human_ruizorera/human_ruizorera_pre_config.txt	5	28	28.037696	0.80356873	0.094692484	0.10173879	2900811	[9,12]	3
CAR-T GSE304796	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/packed_heldout_human_cart_canon/_work/psites/human_cart_canon_pre_config.txt	3	26	26	0.785116	0.07740665	0.13747735	897326	[10]	0
Wang liver (mouse)	heldout	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/data/liver3x3/pool_wang_canon/_work/psites/l3x3_wang_pre_config.txt	2	29	29.347395	0.77473726	0.11818176	0.10708099	1967791	[12,13]	1
B721.221	pgx	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/B721_pilot/ribocode/B721_pre_config.txt	7	29	29.073685	0.78672746	0.088021983	0.12525056	18808188	[12]	0
HBL-1	pgx	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/proteogenomics/data/HBL1_pilot/ribocode/HBL1_DMSO_pre_config.txt	2	34	33.396098	0.74793417	0.086605359	0.16546047	128641	[12]	0
Brain (dropped)	dropped	/private/groups/carpenterlab/emalekos/RNAZoo_meta/RNAZoo/experiments/riboseq_signal_model/results/chothani_regeneration/_canonical_Brain/canon_Brain_pre_config.txt	5	28	27.471469	0.76151313	0.10346839	0.13501849	762977	[9,11,12]	3
