kind	depth_frac	abs_psites	seed	n_pred	n_real	n_match	precision	recall	f1	noncanon_recall
pred_preddepth				13107	16555	12126	0.925154	0.732468	0.817612	0.323396
pred_obsdepth				13451	16555	12287	0.913464	0.742193	0.81897	0.36412
measure	1	6.29969e+08		13179	16555	13099	0.99393	0.791241	0.881079	0.571467
measure	0.0005	314984	0	2595	16555	2595	1	0.15675	0.271018	0.00159702
measure	0.001	629969	0	4325	16555	4323	0.999538	0.26113	0.41408	0.00319404
measure	0.002	1.25994e+06	0	6207	16555	6204	0.999517	0.374751	0.545119	0.0127762
measure	0.005	3.14984e+06	0	8382	16555	8372	0.998807	0.505708	0.671452	0.0433857
measure	0.01	6.29969e+06	0	9626	16555	9594	0.996676	0.579523	0.732898	0.0867714
measure	0.01	6.29969e+06	1	9629	16555	9608	0.997819	0.580368	0.733883	0.0881022
measure	0.01	6.29969e+06	2	9598	16555	9580	0.998125	0.578677	0.732612	0.0865052
measure	0.02	1.25994e+07	0	10624	16555	10577	0.995576	0.638901	0.778321	0.154911
measure	0.02	1.25994e+07	1	10631	16555	10592	0.996331	0.639807	0.779225	0.157573
measure	0.02	1.25994e+07	2	10625	16555	10584	0.996141	0.639323	0.778808	0.154911
measure	0.035	2.20489e+07	0	11260	16555	11204	0.995027	0.676774	0.805608	0.22864
measure	0.035	2.20489e+07	1	11236	16555	11174	0.994482	0.674962	0.804145	0.222784
measure	0.035	2.20489e+07	2	11280	16555	11220	0.994681	0.677741	0.806179	0.22864
measure	0.05	3.14984e+07	0	11629	16555	11560	0.994067	0.698278	0.820324	0.278414
measure	0.05	3.14984e+07	1	11647	16555	11568	0.993217	0.698762	0.820367	0.275486
measure	0.05	3.14984e+07	2	11648	16555	11583	0.99442	0.699668	0.821402	0.280543
measure	0.07	4.40978e+07	0	11930	16555	11844	0.992791	0.715433	0.831596	0.319138
measure	0.07	4.40978e+07	1	11952	16555	11861	0.992386	0.71646	0.832146	0.323929
measure	0.07	4.40978e+07	2	11940	16555	11844	0.99196	0.715433	0.831304	0.319936
measure	0.1	6.29969e+07	0	12290	16555	12178	0.990887	0.735609	0.844375	0.375566
measure	0.1	6.29969e+07	1	12263	16555	12154	0.991111	0.734159	0.843501	0.375832
measure	0.1	6.29969e+07	2	12236	16555	12142	0.992318	0.733434	0.843458	0.368911
measure	0.2	1.25994e+08	0	12729	16555	12585	0.988687	0.760193	0.859514	0.454086
measure	0.2	1.25994e+08	1	12758	16555	12619	0.989105	0.762247	0.860983	0.464732
measure	0.2	1.25994e+08	2	12739	16555	12598	0.988932	0.760979	0.860108	0.458344
measure	0.35	2.20489e+08	0	12992	16555	12855	0.989455	0.776503	0.870139	0.512909
measure	0.35	2.20489e+08	1	13010	16555	12860	0.98847	0.776805	0.869948	0.514506
measure	0.35	2.20489e+08	2	13040	16555	12870	0.986963	0.777409	0.869742	0.517966
