dataset	accession	role	n_runs	library_strategy	library_selection	layout	read_len_nt	depth_reads_median	instrument	library_prep_from_protocol	match_to_training_notes
Chothani	PRJNA756023	TRAINING (7 tissues + Hepatocytes holdout)	57	RNA-Seq(57)	cDNA(57)	PAIRED(57)	75(49);150(6);74(2)	29,372,569	NextSeq 500(51);Illumina HiSeq 2000(6)	Illumina TruSeq Stranded mRNA, poly(A) selection	TRAINING REFERENCE. Everything else is compared to this: TruSeq stranded poly(A), PAIRED 2x75. Six runs are 2x150, so the training set is itself slightly heterogeneous in read length.
HBL-1	PRJNA647736	immunopeptidome line	1	RNA-Seq(1)	Oligo-dT(1)	PAIRED(1)	76(1)	57,522,336	NextSeq 500(1)	Ruiz-Cuevas 2021 (TruSeq)	Matches training well: Oligo-dT selection, PAIRED 2x76.
DoHH2	PRJNA647736	immunopeptidome line	1	RNA-Seq(1)	Oligo-dT(1)	PAIRED(1)	76(1)	89,424,776	NextSeq 500(1)	Ruiz-Cuevas 2021 (TruSeq)	Matches training well: Oligo-dT selection, PAIRED 2x76.
SU-DHL-4	PRJNA647736	immunopeptidome line	1	RNA-Seq(1)	Oligo-dT(1)	PAIRED(1)	76(1)	130,063,574	NextSeq 500(1)	Ruiz-Cuevas 2021 (TruSeq)	Matches training well: Oligo-dT selection, PAIRED 2x76.
B721.221	PRJNA543098	immunopeptidome line (Ribo-seq validation)	8	RNA-Seq(8)	cDNA(8)	PAIRED(8)	38(8)	38,648,976	NextSeq 550(8)	Smart-seq2 + Nextera XT (oligo-dT primed)	FURTHEST FROM TRAINING on the coverage channel: Smart-seq2+Nextera (not TruSeq), PAIRED 2x38 (HALF the training read length, verified in the FASTQ), salmon mapping 71% vs 88-93% elsewhere, mean per-nt coverage 62.5 vs 165-188. cov_norm=global_mean handles the scale; the coverage SHAPE difference is the residual risk. A weak B721 drop-in result has two candidate causes, not one.
THP-1	PRJNA686824	immunopeptidome line (NOT PULLED)	3	RNA-Seq(3)	unspecified(3)	PAIRED(3)	100(3)	26,646,795	DNBSEQ-G400(3)	MGIEasy stranded mRNA V2 (poly(A) inferred, not stated)	Not pulled. PAIRED 2x100 on DNBSEQ (MGI), consistent with the MGIEasy mRNA kit. library_selection='unspecified' -- poly(A) inferred from the kit name, NOT stated by the authors; verify empirically before use.
macrophage	PRJNA482293	12 mouse macrophage populations	36	RNA-Seq(36)	PCR(36)	PAIRED(36)	75(36)	41,330,226	BGISEQ-500(36)	not recorded	PAIRED 2x75 on BGISEQ, library_selection='PCR'. Read length matches training.
GSE120762	PRJNA494404	mouse BMDM +/- LPS	16	OTHER(10);RNA-Seq(6)	other(10);cDNA(6)	PAIRED(12);SINGLE(4)	76(16)	35,402,614	Illumina HiSeq 2000(16)	not recorded	Mixed submission: 6 RNA-seq + 10 Ribo-seq (strategy OTHER). RNA arm PAIRED 2x76.
GSE155087	PRJNA648398	mouse CD4+ T-cell (WT only)	28	RNA-Seq(18);OTHER(10)	cDNA(18);other(10)	SINGLE(28)	101(18);51(10)	38,201,172	Illumina HiSeq 2000(28)	mRNA-seq	Mixed: 18 RNA-seq + 10 Ribo-seq. SINGLE-end 101 nt RNA -- layout differs from the paired training data.
GSE243134	PRJNA1016416	mouse liver (Ribo-Zero TOTAL RNA - rejected)	77	OTHER(39);RNA-Seq(38)	other(39);cDNA(38)	SINGLE(77)	80(48);75(29)	18,548,356	Illumina HiSeq 2500(77)	Ribo-Zero total RNA (NOT poly(A))	REJECTED as an RNA arm: Ribo-Zero TOTAL RNA, not poly(A). Retained tRNA/7SL crushed the liver universe to 3,321 tx. Replaced with a poly(A) arm.
Janich	PRJNA375080	mouse liver	48	RNA-Seq(48)	cDNA(48)	SINGLE(48)	50(28);51(20)	72,029,787	Illumina HiSeq 2500(48)	ARTseq total RNA (adapter-heavy)	SINGLE-end 50-51 nt. ARTseq total-RNA prep: 95% of reads carry 3' adapter, so untrimmed salmon mapped 0.03% and produced a 2,434-tx universe. Fixed by cutadapt; mapping 37-44%, universe 10,431 tx.
