model	dataset	species	tx_id	gene	tx_biotype	orf_type	orf_tstart	orf_tstop	tx_len	psites_total	psites_in_orf	r_full	r_drop1	r_drop3	r_orf	r_drop_orf3	top1_frac	spread90	f0_obs_in_orf	score
attn	human_ruizorera	human	ENST00000396930.4	KAT6A	protein_coding	uORF	16	105	8006	5375	408	0.5197	0.3586	0.3854	0.8181	0.9384	0.0275	0.6079	0.9289	0.8645
attn	human_ruizorera	human	ENST00000225831.4	CCL2	protein_coding	annotated	66	365	741	1360	1347	0.7733	0.8046	0.8009	0.7461	0.7749	0.0537	0.5035	0.8515	0.6561
attn	human_ruizorera	human	ENST00000613129.4	SURF4	protein_coding	uORF	198	395	3148	26254	1526	0.6009	0.5630	0.5719	0.6826	0.7250	0.0339	0.3211	0.5996	0.6548
attn	human_ruizorera	human	ENST00000521180.5	ST3GAL1	protein_coding	uORF	34	132	6951	1617	106	0.3836	0.4284	0.4783	0.7686	0.7560	0.0470	0.6017	0.7925	0.6545
attn	human_ruizorera	human	ENST00000968151.1	CD82	protein_coding	annotated	233	1036	1673	1747	1538	0.7298	0.7864	0.7434	0.7308	0.7509	0.0498	0.5704	0.8531	0.6440
attn	human_ruizorera	human	ENST00000492112.3	SRSF10	protein_coding	annotated	73	861	7656	7017	6785	0.7652	0.7357	0.7505	0.7441	0.7248	0.0393	0.4012	0.8041	0.6434
attn	human_ruizorera	human	ENST00000391878.6	TP53BP2	protein_coding	uORF	251	481	4741	8403	698	0.4881	0.4528	0.5023	0.4608	0.7034	0.0312	0.5241	0.8338	0.6408
attn	human_ruizorera	human	ENST00000346798.8	APP	protein_coding	annotated	151	2463	3583	240805	236869	0.6443	0.7022	0.7082	0.6336	0.6992	0.0308	0.2681	0.8725	0.6377
attn	human_ruizorera	human	ENST00000339647.6	UBC	protein_coding	annotated	68	2125	2193	1162159	1161965	0.6519	0.6615	0.6783	0.6495	0.6760	0.0227	0.2064	0.8767	0.6322
attn	human_ruizorera	human	ENST00000374452.9	SRSF10	protein_coding	annotated	54	575	1194	6234	6020	0.7097	0.7079	0.7385	0.6906	0.7217	0.0443	0.3971	0.7980	0.6304
attn	human_ruizorera	human	ENST00000326132.11	RNF185	protein_coding	annotated	171	749	3182	1587	1362	0.6856	0.7212	0.7307	0.6643	0.7493	0.0567	0.5049	0.7012	0.6279
attn	human_ruizorera	human	ENST00000855975.1	ELOVL1	protein_coding	uORF	39	275	1639	2206	106	0.3825	0.3971	0.3594	0.3430	0.6870	0.0313	0.5590	0.8396	0.6256
attn	human_ruizorera	human	ENST00000225969.9	MRPL27	protein_coding	annotated	15	461	686	7342	7331	0.7063	0.7281	0.7650	0.6957	0.7554	0.0655	0.3191	0.8928	0.6140
attn	human_ruizorera	human	ENST00000451493.5	SPART	protein_coding	annotated	219	2219	4944	6533	6506	0.6753	0.6770	0.7127	0.6636	0.6947	0.0430	0.4936	0.8469	0.6093
attn	human_ruizorera	human	ENST00000938511.1	ERP29	protein_coding	annotated	15	836	1174	8226	8221	0.6007	0.6491	0.7069	0.5848	0.6939	0.0433	0.3872	0.8610	0.6081
attn	human_ruizorera	human	ENST00000257261.10	FADS2	protein_coding	annotated	31	1299	2964	15715	15656	0.6053	0.6368	0.6765	0.5777	0.6520	0.0276	0.3948	0.8356	0.6007
attn	human_ruizorera	human	ENST00000328434.8	COA3	protein_coding	annotated	24	344	780	5321	5220	0.7637	0.7995	0.7356	0.7372	0.7019	0.0530	0.3902	0.8617	0.5957
attn	human_ruizorera	human	ENST00000275262.11	QKI	protein_coding	annotated	552	1529	6964	25510	21512	0.6950	0.7007	0.7116	0.6644	0.6804	0.0436	0.3272	0.8487	0.5956
attn	human_ruizorera	human	ENST00000635758.2	ATG5	protein_coding	Overlap_uORF	272	406	3035	1594	452	0.4330	0.4283	0.4625	0.4912	0.7036	0.0540	0.5587	0.6394	0.5951
attn	human_ruizorera	human	ENST00000238081.8	YWHAQ	protein_coding	annotated	140	877	2196	46600	46296	0.7199	0.7226	0.7163	0.6962	0.6858	0.0463	0.2852	0.8740	0.5951
attn	human_ruizorera	human	ENST00000398831.8	PPIL2	protein_coding	annotated	89	1651	4068	4287	4267	0.6453	0.6536	0.6691	0.6147	0.6385	0.0238	0.5365	0.8638	0.5951
attn	human_ruizorera	human	ENST00000392127.6	QKI	protein_coding	annotated	552	1511	7911	25577	21571	0.6923	0.7039	0.7102	0.6625	0.6794	0.0435	0.3284	0.8466	0.5950
attn	human_ruizorera	human	ENST00000332556.5	LAMP1	protein_coding	annotated	197	1450	2701	24854	24567	0.6458	0.6642	0.6786	0.6161	0.6490	0.0293	0.3583	0.8790	0.5947
attn	human_ruizorera	human	ENST00000393432.9	HNRNPH1	protein_coding	annotated	109	1458	2240	26147	25619	0.6057	0.6214	0.6597	0.5846	0.6397	0.0262	0.3610	0.8515	0.5919
attn	human_ruizorera	human	ENST00000157812.7	PSMC4	protein_coding	annotated	39	1295	1754	17914	17901	0.6042	0.6535	0.6766	0.5884	0.6618	0.0370	0.3833	0.9030	0.5918
attn	human_ruizorera	human	ENST00000407242.6	LRRC32	protein_coding	annotated	244	2232	4311	6424	5550	0.6145	0.6566	0.6272	0.6077	0.6483	0.0305	0.5098	0.8683	0.5918
attn	human_ruizorera	human	ENST00000616577.4	TPT1	protein_coding	annotated	216	809	4814	6340	5073	0.7602	0.7008	0.5905	0.8828	0.7731	0.0823	0.2933	0.8431	0.5912
attn	human_ruizorera	human	ENST00000881459.1	EFEMP1	protein_coding	annotated	1343	2824	3302	10697	10653	0.6533	0.6681	0.6684	0.6207	0.6332	0.0237	0.4605	0.8350	0.5904
