model	dataset	species	tx_id	gene	tx_biotype	orf_type	orf_tstart	orf_tstop	tx_len	psites_total	psites_in_orf	r_full	r_drop1	r_drop3	r_orf	r_drop_orf3	top1_frac	spread90	f0_obs_in_orf	score
attn	human_hepatocytes	human	ENST00000453292.7	GNAS	protein_coding	dORF	738	1784	2147	173794	173734	0.9180	0.9064	0.9005	0.9114	0.8913	0.0303	0.2993	0.8771	0.8142
attn	human_hepatocytes	human	ENST00000359337.9	PLXNB2	protein_coding	uORF	20	127	6409	68867	1779	0.5956	0.6128	0.6013	0.6536	0.8406	0.0121	0.4370	0.8640	0.8114
attn	human_hepatocytes	human	ENST00000901263.1	GTF2I	protein_coding	annotated	451	3324	5178	13258	12064	0.9049	0.8973	0.8885	0.8996	0.8960	0.0345	0.4493	0.8554	0.8076
attn	human_hepatocytes	human	ENST00000945243.1	SEPTIN2	protein_coding	annotated	293	1564	2176	101297	100568	0.8893	0.8871	0.8915	0.8839	0.8856	0.0320	0.3364	0.8349	0.8045
attn	human_hepatocytes	human	ENST00000898618.1	ITGB1	protein_coding	annotated	160	2583	3761	611939	611028	0.8802	0.8682	0.8755	0.8762	0.8704	0.0287	0.2740	0.8526	0.7991
attn	human_hepatocytes	human	ENST00000908311.1	MORF4L2	protein_coding	annotated	368	1234	2035	151318	137220	0.8846	0.8705	0.8654	0.8906	0.8726	0.0305	0.2867	0.8408	0.7966
attn	human_hepatocytes	human	ENST00000431914.6	CTNNB1	protein_coding	annotated	152	2497	2749	96823	95634	0.8353	0.8376	0.8185	0.8331	0.8154	0.0138	0.3896	0.8427	0.7833
attn	human_hepatocytes	human	ENST00000901456.1	CSDE1	protein_coding	annotated	155	2596	3847	73170	70255	0.9006	0.8773	0.8514	0.9028	0.8507	0.0295	0.4071	0.8540	0.7790
attn	human_hepatocytes	human	ENST00000338167.10	APLP2	protein_coding	annotated	85	2340	3697	160655	158117	0.8368	0.8212	0.8310	0.8304	0.8231	0.0198	0.3319	0.8617	0.7766
attn	human_hepatocytes	human	ENST00000870961.1	COPB2	protein_coding	annotated	127	2847	4722	71321	70712	0.8334	0.8262	0.8224	0.8249	0.8118	0.0155	0.4193	0.8425	0.7758
